Accident_ID,Year,Month,Month_Name,Accident_Date,Province,District,City / Place,Latitude,Longitude,Road_Type,Vehicle_Type,Accident_Cause,Time_of_Day,Weather_Condition,Number_of_Vehicles_Involved,Injuries,Fatalities,Total_People_Killed,Emergency_Response_Time_Minutes,Victim_Gender,Victim_Age_Group,Road_User_Type
ACC-00420,2022,3,March,2022-03-01,Madhesh,Dhanusha,Aurahi,26.791572,85.899981,Urban Road,Motorcycle,Road Condition,Afternoon,Clear,4,2,1,1,16,Female,Adult (25-44),Motorcyclist
ACC-00534,2022,3,March,2022-03-01,Madhesh,Dhanusha,Aurahi,26.760457,85.910852,Highway,Motorcycle,Road Condition,Morning,Foggy,1,8,1,1,29,Male,Middle Aged (45-64),Motorcyclist
ACC-00025,2022,4,April,2022-04-01,Madhesh,Dhanusha,Kamala,26.678311,85.957721,Highway,Motorcycle,Road Condition,Evening,Foggy,1,8,2,2,27,Male,Middle Aged (45-64),Motorcyclist
ACC-00050,2022,4,April,2022-04-01,Sudurpashchim,Kailali,Pathariya,28.652662,80.619626,Highway,Motorcycle,Overspeeding,Night,Clear,4,7,3,3,23,Male,Child (0-14),Motorcyclist
ACC-00146,2022,4,April,2022-04-01,Madhesh,Dhanusha,Hansapur,26.701033,85.882276,Urban Road,Motorcycle,Flood,Night,Rainy,1,4,4,4,31,Male,Adult (25-44),Motorcyclist
ACC-00223,2022,4,April,2022-04-01,Lumbini,Rupandehi,Butwal,27.726955,83.446942,Hill Road,Motorcycle,Weather,Morning,Foggy,4,1,0,0,71,Male,Young Adult (15-24),Motorcyclist
ACC-00338,2022,4,April,2022-04-01,Gandaki,Kaski,Pokhara,28.199513,84.000001,Rural Road,Motorcycle,Human Error,Night,Foggy,2,5,0,0,42,Male,Young Adult (15-24),Motorcyclist
ACC-00410,2022,4,April,2022-04-01,Sudurpashchim,Kailali,Ghodaghodi,28.66087,80.765687,Urban Road,Bus,Human Error,Afternoon,Rainy,1,3,0,0,7,Male,Middle Aged (45-64),Driver
ACC-00426,2022,4,April,2022-04-01,Karnali,Surkhet,Gurbhakot,28.510131,81.765876,Urban Road,Bicycle,Human Error,Evening,Clear,1,4,3,3,10,Male,Young Adult (15-24),Cyclist
ACC-00434,2022,4,April,2022-04-01,Madhesh,Dhanusha,Aurahi,26.758542,85.873594,Highway,Motorcycle,Landslide,Morning,Rainy,1,1,0,0,53,Male,Child (0-14),Motorcyclist
ACC-00467,2022,4,April,2022-04-01,Sudurpashchim,Kailali,Pathariya,28.669649,80.593469,Hill Road,Motorcycle,Road Condition,Evening,Clear,4,3,1,1,45,Male,Young Adult (15-24),Motorcyclist
ACC-00524,2022,4,April,2022-04-01,Karnali,Surkhet,Raniyapur,28.565429,81.634466,Highway,Motorcycle,Landslide,Morning,Rainy,1,5,3,3,56,Female,Child (0-14),Motorcyclist
ACC-00548,2022,4,April,2022-04-01,Gandaki,Kaski,Lamachaur,28.267306,84.019942,Urban Road,Motorcycle,Landslide,Night,Rainy,2,4,2,2,42,Male,Young Adult (15-24),Motorcyclist
ACC-00051,2022,5,May,2022-05-01,Bagmati,Kathmandu,Tokha,27.771576,85.294271,Hill Road,Bus,Landslide,Afternoon,Rainy,4,0,0,0,59,Female,Young Adult (15-24),Driver
ACC-00102,2022,5,May,2022-05-01,Lumbini,Rupandehi,Rohini,27.600923,83.394516,Urban Road,Bus,Drunk Driving,Night,Rainy,2,5,1,1,38,Male,Adult (25-44),Passenger
ACC-00176,2022,5,May,2022-05-01,Gandaki,Kaski,Lakeside,28.216924,83.974753,Highway,Motorcycle,Road Condition,Afternoon,Foggy,4,5,3,3,40,Male,Middle Aged (45-64),Motorcyclist
ACC-00244,2022,5,May,2022-05-01,Bagmati,Kathmandu,Budhanilkantha,27.754376,85.341919,Hill Road,Bicycle,Road Condition,Night,Rainy,3,1,0,0,53,Male,Adult (25-44),Cyclist
ACC-00367,2022,5,May,2022-05-01,Lumbini,Rupandehi,Kanchan,27.570267,83.406359,Highway,Motorcycle,Human Error,Morning,Rainy,2,5,2,2,40,Female,Young Adult (15-24),Motorcyclist
ACC-00376,2022,5,May,2022-05-01,Koshi,Morang,Katahari,26.499185,87.244252,Highway,Motorcycle,Overspeeding,Morning,Clear,3,2,0,0,60,Male,Child (0-14),Motorcyclist
ACC-00091,2022,6,June,2022-06-01,Gandaki,Kaski,Birauta,28.219543,83.977299,Rural Road,Car,Overspeeding,Night,Clear,1,6,2,2,63,Male,Child (0-14),Driver
ACC-00097,2022,6,June,2022-06-01,Madhesh,Dhanusha,Ganeshman Charnath,26.767936,85.927062,Rural Road,Motorcycle,Weather,Night,Foggy,3,6,3,3,50,Male,Adult (25-44),Motorcyclist
ACC-00118,2022,6,June,2022-06-01,Karnali,Surkhet,Gurbhakot,28.486376,81.759055,Rural Road,Motorcycle,Landslide,Evening,Rainy,3,3,1,1,66,Male,Young Adult (15-24),Motorcyclist
ACC-00215,2022,6,June,2022-06-01,Karnali,Surkhet,Latikoili,28.568439,81.664721,Hill Road,Motorcycle,Overspeeding,Evening,Clear,4,0,0,0,31,Male,Child (0-14),Motorcyclist
ACC-00333,2022,6,June,2022-06-01,Koshi,Morang,Jahada,26.512471,87.232396,Urban Road,Motorcycle,Overspeeding,Night,Rainy,4,6,0,0,19,Male,Child (0-14),Motorcyclist
ACC-00447,2022,6,June,2022-06-01,Sudurpashchim,Kailali,Bhajani,28.493685,80.765428,Urban Road,Truck,Overspeeding,Evening,Rainy,4,0,0,0,27,Other,Senior (65+),Passenger
ACC-00539,2022,6,June,2022-06-01,Gandaki,Kaski,Hemja,28.280501,83.972625,Urban Road,Motorcycle,Flood,Morning,Rainy,3,3,2,2,19,Male,Senior (65+),Motorcyclist
ACC-00185,2022,7,July,2022-07-01,Koshi,Morang,Gramthan,26.508331,87.211966,Rural Road,Truck,Overspeeding,Afternoon,Clear,4,0,0,0,55,Male,Young Adult (15-24),Driver
ACC-00264,2022,7,July,2022-07-01,Lumbini,Rupandehi,Siddharthanagar,27.511236,83.477175,Rural Road,Motorcycle,Road Condition,Afternoon,Rainy,2,5,2,2,39,Male,Senior (65+),Motorcyclist
ACC-00059,2022,8,August,2022-08-01,Karnali,Surkhet,Jabre,28.584795,81.629596,Rural Road,Motorcycle,Human Error,Night,Clear,4,2,1,1,62,Male,Adult (25-44),Motorcyclist
ACC-00171,2022,8,August,2022-08-01,Karnali,Surkhet,Panchapuri,28.581752,81.726846,Rural Road,Car,Landslide,Afternoon,Rainy,2,2,2,2,69,Male,Senior (65+),Passenger
ACC-00249,2022,8,August,2022-08-01,Madhesh,Dhanusha,Kamala,26.696682,85.961755,Hill Road,Motorcycle,Weather,Night,Rainy,1,0,0,0,59,Female,Adult (25-44),Motorcyclist
ACC-00300,2022,8,August,2022-08-01,Gandaki,Kaski,Nadipur,28.210837,84.011624,Hill Road,Motorcycle,Weather,Evening,Foggy,1,0,0,0,42,Male,Adult (25-44),Motorcyclist
ACC-00132,2022,9,September,2022-09-01,Bagmati,Kathmandu,Sankhu,27.755123,85.473138,Hill Road,Tempo,Overspeeding,Afternoon,Rainy,4,6,1,1,20,Male,Young Adult (15-24),Passenger
ACC-00170,2022,9,September,2022-09-01,Koshi,Morang,Gramthan,26.496562,87.218003,Highway,Motorcycle,Human Error,Night,Clear,4,3,1,1,45,Male,Middle Aged (45-64),Motorcyclist
ACC-00192,2022,9,September,2022-09-01,Bagmati,Kathmandu,Chabahil,27.695741,85.372255,Urban Road,Motorcycle,Flood,Morning,Rainy,3,5,3,3,51,Female,Young Adult (15-24),Motorcyclist
ACC-00258,2022,9,September,2022-09-01,Karnali,Surkhet,Chandannath,28.57796,81.712624,Rural Road,Motorcycle,Landslide,Morning,Rainy,3,4,3,3,55,Male,Senior (65+),Motorcyclist
ACC-00313,2022,9,September,2022-09-01,Sudurpashchim,Kailali,Tikapur,28.515779,81.115334,Hill Road,Motorcycle,Flood,Evening,Rainy,3,5,2,2,44,Male,Adult (25-44),Motorcyclist
ACC-00323,2022,9,September,2022-09-01,Bagmati,Kathmandu,Gongabu,27.76203,85.337143,Rural Road,Truck,Drunk Driving,Evening,Clear,3,3,2,2,25,Male,Adult (25-44),Driver
ACC-00326,2022,9,September,2022-09-01,Lumbini,Rupandehi,Omsatiya,27.564223,83.428234,Highway,Truck,Human Error,Night,Foggy,2,2,0,0,41,Female,Young Adult (15-24),Passenger
ACC-00346,2022,9,September,2022-09-01,Karnali,Surkhet,Barahatal,28.594769,81.59679,Hill Road,Motorcycle,Landslide,Evening,Rainy,2,6,3,3,49,Male,Young Adult (15-24),Motorcyclist
ACC-00354,2022,9,September,2022-09-01,Gandaki,Kaski,Birauta,28.169764,83.979006,Urban Road,Bus,Flood,Afternoon,Rainy,1,1,0,0,8,Male,Adult (25-44),Passenger
ACC-00421,2022,9,September,2022-09-01,Karnali,Surkhet,Barahatal,28.598877,81.576906,Urban Road,Tempo,Weather,Night,Clear,2,3,2,2,14,Female,Adult (25-44),Passenger
ACC-00504,2022,9,September,2022-09-01,Madhesh,Dhanusha,Aurahi,26.762759,85.888401,Urban Road,Bicycle,Human Error,Night,Rainy,1,0,0,0,41,Female,Middle Aged (45-64),Cyclist
ACC-00514,2022,9,September,2022-09-01,Sudurpashchim,Kailali,Lamki,28.622398,80.709119,Hill Road,Motorcycle,Human Error,Night,Foggy,1,0,0,0,71,Female,Adult (25-44),Motorcyclist
ACC-00026,2022,10,October,2022-10-01,Karnali,Surkhet,Birendranagar,28.578821,81.662124,Hill Road,Motorcycle,Overspeeding,Night,Foggy,3,5,2,2,45,Female,Senior (65+),Motorcyclist
ACC-00067,2022,10,October,2022-10-01,Sudurpashchim,Kailali,Tikapur,28.536424,81.111139,Urban Road,Motorcycle,Flood,Afternoon,Rainy,1,5,0,0,24,Male,Child (0-14),Motorcyclist
ACC-00138,2022,10,October,2022-10-01,Koshi,Morang,Biratnagar,26.472226,87.295973,Rural Road,Motorcycle,Flood,Night,Rainy,1,5,2,2,63,Male,Young Adult (15-24),Motorcyclist
ACC-00403,2022,10,October,2022-10-01,Madhesh,Dhanusha,Lakshminiya,26.707025,85.954355,Rural Road,Bus,Landslide,Night,Rainy,1,5,3,3,40,Male,Young Adult (15-24),Driver
ACC-00441,2022,10,October,2022-10-01,Karnali,Surkhet,Chhinchu,28.511823,81.671945,Hill Road,Motorcycle,Drunk Driving,Night,Foggy,4,2,2,2,67,Male,Middle Aged (45-64),Motorcyclist
ACC-00453,2022,10,October,2022-10-01,Karnali,Surkhet,Birendranagar,28.609571,81.634873,Urban Road,Bus,Flood,Night,Rainy,3,5,3,3,41,Male,Middle Aged (45-64),Driver
ACC-00527,2022,10,October,2022-10-01,Bagmati,Kathmandu,Thamel,27.69075,85.327118,Hill Road,Bus,Weather,Night,Foggy,4,6,3,3,57,Male,Adult (25-44),Passenger
ACC-00544,2022,10,October,2022-10-01,Madhesh,Dhanusha,Sabaila,26.771177,85.831806,Hill Road,Motorcycle,Landslide,Morning,Rainy,4,6,2,2,39,Male,Adult (25-44),Motorcyclist
ACC-00069,2022,11,November,2022-11-01,Karnali,Surkhet,Chhinchu,28.5181,81.664518,Rural Road,Bicycle,Flood,Evening,Rainy,1,6,3,3,18,Male,Middle Aged (45-64),Cyclist
ACC-00104,2022,11,November,2022-11-01,Madhesh,Dhanusha,Kamala,26.692761,85.958811,Urban Road,Motorcycle,Landslide,Afternoon,Rainy,2,0,0,0,7,Male,Middle Aged (45-64),Motorcyclist
ACC-00145,2022,11,November,2022-11-01,Gandaki,Kaski,Hemja,28.258657,84.006911,Rural Road,Motorcycle,Overspeeding,Evening,Rainy,4,6,2,2,62,Male,Young Adult (15-24),Motorcyclist
ACC-00267,2022,11,November,2022-11-01,Sudurpashchim,Kailali,Pathariya,28.643928,80.62022,Urban Road,Motorcycle,Human Error,Night,Rainy,1,5,1,1,6,Male,Adult (25-44),Motorcyclist
ACC-00307,2022,11,November,2022-11-01,Gandaki,Kaski,Bagar,28.244253,83.973502,Urban Road,Motorcycle,Landslide,Morning,Rainy,2,1,1,1,11,Male,Child (0-14),Motorcyclist
ACC-00384,2022,11,November,2022-11-01,Karnali,Surkhet,Jabre,28.560477,81.625506,Urban Road,Truck,Road Condition,Afternoon,Clear,4,1,0,0,26,Female,Adult (25-44),Driver
ACC-00399,2022,11,November,2022-11-01,Gandaki,Kaski,Batulechaur,28.272078,83.947832,Highway,Motorcycle,Flood,Morning,Rainy,4,5,1,1,58,Female,Middle Aged (45-64),Motorcyclist
ACC-00409,2022,11,November,2022-11-01,Gandaki,Kaski,Sarangkot,28.228191,83.93171,Hill Road,Tempo,Human Error,Afternoon,Clear,1,3,3,3,73,Female,Young Adult (15-24),Driver
ACC-00494,2022,11,November,2022-11-01,Karnali,Surkhet,Uttarganga,28.549903,81.69223,Urban Road,Tempo,Overspeeding,Afternoon,Rainy,4,3,0,0,20,Male,Adult (25-44),Passenger
ACC-00001,2022,12,December,2022-12-01,Karnali,Surkhet,Birendranagar,28.616393,81.618594,Highway,Motorcycle,Human Error,Morning,Clear,4,2,0,0,10,Male,Adult (25-44),Motorcyclist
ACC-00013,2022,12,December,2022-12-01,Lumbini,Rupandehi,Lumbini,27.480139,83.262854,Hill Road,Motorcycle,Weather,Afternoon,Clear,4,6,3,3,30,Female,Young Adult (15-24),Motorcyclist
ACC-00063,2022,12,December,2022-12-01,Gandaki,Kaski,Malepatan,28.247233,83.96103,Urban Road,Motorcycle,Road Condition,Morning,Clear,3,2,1,1,32,Female,Adult (25-44),Motorcyclist
ACC-00144,2022,12,December,2022-12-01,Lumbini,Rupandehi,Bhairahawa,27.483408,83.479609,Rural Road,Bus,Flood,Evening,Rainy,2,2,0,0,60,Male,Young Adult (15-24),Driver
ACC-00180,2022,12,December,2022-12-01,Madhesh,Dhanusha,Janakpur,26.758349,85.946023,Hill Road,Motorcycle,Landslide,Evening,Rainy,2,6,3,3,49,Male,Young Adult (15-24),Motorcyclist
ACC-00255,2022,12,December,2022-12-01,Madhesh,Dhanusha,Hansapur,26.702935,85.899473,Urban Road,Truck,Overspeeding,Morning,Clear,4,3,1,1,36,Male,Adult (25-44),Driver
ACC-00256,2022,12,December,2022-12-01,Lumbini,Rupandehi,Marchawari,27.538976,83.3505,Rural Road,Truck,Drunk Driving,Morning,Rainy,4,5,2,2,50,Male,Middle Aged (45-64),Driver
ACC-00331,2022,12,December,2022-12-01,Sudurpashchim,Kailali,Attariya,28.644229,80.599144,Highway,Motorcycle,Weather,Afternoon,Foggy,4,7,0,0,43,Male,Young Adult (15-24),Motorcyclist
ACC-00351,2022,12,December,2022-12-01,Gandaki,Kaski,Birauta,28.170411,83.962444,Rural Road,Motorcycle,Landslide,Night,Rainy,3,0,0,0,64,Male,Young Adult (15-24),Motorcyclist
ACC-00389,2022,12,December,2022-12-01,Gandaki,Kaski,Nadipur,28.196234,83.986757,Urban Road,Motorcycle,Overspeeding,Morning,Foggy,1,4,1,1,43,Female,Young Adult (15-24),Motorcyclist
ACC-00436,2022,12,December,2022-12-01,Lumbini,Rupandehi,Siddharthanagar,27.520236,83.431756,Hill Road,Bicycle,Road Condition,Evening,Foggy,2,6,1,1,50,Male,Adult (25-44),Cyclist
ACC-00486,2022,12,December,2022-12-01,Madhesh,Dhanusha,Hansapur,26.691309,85.859966,Rural Road,Motorcycle,Weather,Morning,Rainy,4,4,1,1,30,Female,Adult (25-44),Motorcyclist
ACC-00532,2022,12,December,2022-12-01,Sudurpashchim,Kailali,Janaki,28.583164,80.590222,Urban Road,Bus,Drunk Driving,Night,Rainy,3,6,4,4,18,Other,Young Adult (15-24),Driver
ACC-00537,2022,12,December,2022-12-01,Sudurpashchim,Kailali,Mohanyal,28.778103,80.72315,Highway,Car,Landslide,Morning,Rainy,2,6,3,3,53,Female,Adult (25-44),Driver
ACC-00017,2023,1,January,2023-01-01,Madhesh,Dhanusha,Shahidnagar,26.784144,85.893657,Highway,Motorcycle,Flood,Afternoon,Rainy,1,6,0,0,59,Male,Adult (25-44),Motorcyclist
ACC-00073,2023,1,January,2023-01-01,Madhesh,Dhanusha,Dhanushadham,26.812156,85.94204,Urban Road,Motorcycle,Overspeeding,Night,Foggy,1,5,2,2,46,Male,Adult (25-44),Motorcyclist
ACC-00148,2023,1,January,2023-01-01,Sudurpashchim,Kailali,Janaki,28.582533,80.644422,Urban Road,Motorcycle,Landslide,Morning,Rainy,4,1,0,0,30,Male,Adult (25-44),Motorcyclist
ACC-00253,2023,1,January,2023-01-01,Lumbini,Rupandehi,Rohini,27.610288,83.437021,Hill Road,Tempo,Road Condition,Night,Clear,3,5,3,3,25,Female,Adult (25-44),Passenger
ACC-00475,2023,1,January,2023-01-01,Gandaki,Kaski,Batulechaur,28.276095,83.980615,Urban Road,Bicycle,Overspeeding,Night,Rainy,3,4,0,0,58,Male,Senior (65+),Cyclist
ACC-00525,2023,1,January,2023-01-01,Sudurpashchim,Kailali,Tikapur,28.50647,81.104302,Hill Road,Car,Drunk Driving,Morning,Rainy,4,6,0,0,58,Female,Senior (65+),Driver
ACC-00004,2023,2,February,2023-02-01,Lumbini,Rupandehi,Omsatiya,27.564173,83.449676,Hill Road,Motorcycle,Weather,Evening,Rainy,4,5,2,2,28,Male,Adult (25-44),Motorcyclist
ACC-00087,2023,2,February,2023-02-01,Koshi,Morang,Urlabari,26.684779,87.690388,Urban Road,Motorcycle,Weather,Night,Rainy,1,3,2,2,52,Female,Adult (25-44),Motorcyclist
ACC-00344,2023,2,February,2023-02-01,Gandaki,Kaski,Malepatan,28.260982,84.010027,Rural Road,Motorcycle,Overspeeding,Afternoon,Clear,3,6,1,1,64,Male,Adult (25-44),Motorcyclist
ACC-00362,2023,2,February,2023-02-01,Lumbini,Rupandehi,Devdaha,27.654644,83.469903,Hill Road,Motorcycle,Overspeeding,Evening,Foggy,4,5,1,1,54,Male,Young Adult (15-24),Motorcyclist
ACC-00380,2023,2,February,2023-02-01,Gandaki,Kaski,Pokhara,28.238294,83.989689,Rural Road,Motorcycle,Overspeeding,Afternoon,Foggy,3,3,0,0,51,Male,Young Adult (15-24),Motorcyclist
ACC-00423,2023,2,February,2023-02-01,Bagmati,Kathmandu,Thamel,27.722051,85.295222,Urban Road,Motorcycle,Drunk Driving,Afternoon,Foggy,3,1,0,0,10,Male,Middle Aged (45-64),Motorcyclist
ACC-00507,2023,2,February,2023-02-01,Sudurpashchim,Kailali,Pathariya,28.666944,80.631981,Hill Road,Bus,Weather,Night,Clear,2,3,2,2,52,Female,Middle Aged (45-64),Passenger
ACC-00546,2023,2,February,2023-02-01,Madhesh,Dhanusha,Dhanushadham,26.77303,85.977716,Highway,Motorcycle,Drunk Driving,Morning,Clear,4,1,0,0,17,Male,Young Adult (15-24),Motorcyclist
ACC-00022,2023,3,March,2023-03-01,Sudurpashchim,Kailali,Dhangadhi,28.665213,80.581267,Hill Road,Car,Weather,Morning,Clear,1,0,0,0,52,Male,Middle Aged (45-64),Passenger
ACC-00094,2023,3,March,2023-03-01,Madhesh,Dhanusha,Ganeshman Charnath,26.743535,85.91861,Rural Road,Tempo,Landslide,Morning,Rainy,4,4,2,2,19,Male,Young Adult (15-24),Driver
ACC-00184,2023,3,March,2023-03-01,Gandaki,Kaski,Rambazar,28.239564,84.002929,Hill Road,Tempo,Overspeeding,Evening,Foggy,3,0,0,0,60,Female,Adult (25-44),Driver
ACC-00194,2023,3,March,2023-03-01,Gandaki,Kaski,Nadipur,28.221033,84.00935,Urban Road,Motorcycle,Flood,Evening,Rainy,1,6,0,0,26,Male,Adult (25-44),Motorcyclist
ACC-00203,2023,3,March,2023-03-01,Madhesh,Dhanusha,Aurahi,26.791813,85.86242,Highway,Motorcycle,Road Condition,Night,Clear,1,7,3,3,21,Male,Adult (25-44),Motorcyclist
ACC-00345,2023,3,March,2023-03-01,Gandaki,Kaski,Hemja,28.28158,84.006026,Hill Road,Motorcycle,Drunk Driving,Morning,Clear,3,4,1,1,56,Male,Adult (25-44),Motorcyclist
ACC-00437,2023,3,March,2023-03-01,Koshi,Morang,Jahada,26.52302,87.211493,Hill Road,Car,Landslide,Morning,Rainy,2,4,3,3,41,Male,Adult (25-44),Driver
ACC-00483,2023,3,March,2023-03-01,Lumbini,Rupandehi,Rohini,27.596997,83.42847,Urban Road,Motorcycle,Human Error,Evening,Rainy,1,3,0,0,5,Male,Young Adult (15-24),Motorcyclist
ACC-00511,2023,3,March,2023-03-01,Bagmati,Kathmandu,Gongabu,27.714151,85.324869,Highway,Motorcycle,Weather,Morning,Rainy,3,3,1,1,25,Male,Middle Aged (45-64),Motorcyclist
ACC-00010,2023,4,April,2023-04-01,Lumbini,Rupandehi,Kanchan,27.531169,83.445746,Highway,Tempo,Overspeeding,Morning,Foggy,4,7,0,0,53,Male,Adult (25-44),Passenger
ACC-00021,2023,4,April,2023-04-01,Koshi,Morang,Belbari,26.657205,87.410438,Rural Road,Motorcycle,Human Error,Night,Foggy,3,6,0,0,23,Male,Adult (25-44),Motorcyclist
ACC-00029,2023,4,April,2023-04-01,Lumbini,Rupandehi,Sainamaina,27.682876,83.400024,Urban Road,Motorcycle,Landslide,Evening,Rainy,4,3,3,3,48,Male,Adult (25-44),Motorcyclist
ACC-00034,2023,4,April,2023-04-01,Sudurpashchim,Kailali,Pathariya,28.654355,80.606392,Urban Road,Motorcycle,Human Error,Morning,Foggy,2,1,0,0,29,Female,Young Adult (15-24),Motorcyclist
ACC-00189,2023,4,April,2023-04-01,Lumbini,Rupandehi,Omsatiya,27.561609,83.460824,Urban Road,Motorcycle,Landslide,Night,Rainy,3,5,0,0,55,Male,Adult (25-44),Motorcyclist
ACC-00238,2023,4,April,2023-04-01,Bagmati,Kathmandu,Gaushala,27.71507,85.313283,Hill Road,Motorcycle,Flood,Afternoon,Rainy,4,6,0,0,26,Male,Adult (25-44),Motorcyclist
ACC-00301,2023,4,April,2023-04-01,Bagmati,Kathmandu,Swayambhu,27.735711,85.271229,Urban Road,Bicycle,Road Condition,Evening,Rainy,2,3,3,3,18,Male,Child (0-14),Cyclist
ACC-00465,2023,4,April,2023-04-01,Bagmati,Kathmandu,Gongabu,27.739581,85.307655,Highway,Motorcycle,Weather,Night,Foggy,2,2,0,0,40,Female,Adult (25-44),Motorcyclist
ACC-00519,2023,4,April,2023-04-01,Gandaki,Kaski,Rambazar,28.244028,83.957486,Urban Road,Motorcycle,Overspeeding,Evening,Foggy,3,1,0,0,57,Other,Young Adult (15-24),Motorcyclist
ACC-00085,2023,5,May,2023-05-01,Koshi,Morang,Belbari,26.697019,87.443841,Urban Road,Motorcycle,Landslide,Night,Rainy,2,1,1,1,39,Male,Young Adult (15-24),Motorcyclist
ACC-00128,2023,5,May,2023-05-01,Madhesh,Dhanusha,Lakshminiya,26.69791,85.996489,Rural Road,Motorcycle,Weather,Evening,Foggy,4,2,2,2,68,Female,Adult (25-44),Motorcyclist
ACC-00149,2023,5,May,2023-05-01,Sudurpashchim,Kailali,Joshipur,28.607975,80.658923,Urban Road,Motorcycle,Weather,Morning,Rainy,4,6,2,2,18,Male,Young Adult (15-24),Motorcyclist
ACC-00151,2023,5,May,2023-05-01,Lumbini,Rupandehi,Kanchan,27.563039,83.446608,Hill Road,Motorcycle,Landslide,Night,Rainy,4,1,1,1,28,Female,Adult (25-44),Motorcyclist
ACC-00154,2023,5,May,2023-05-01,Koshi,Morang,Letang,26.723216,87.597387,Hill Road,Motorcycle,Weather,Night,Foggy,2,5,1,1,37,Male,Young Adult (15-24),Motorcyclist
ACC-00160,2023,5,May,2023-05-01,Bagmati,Kathmandu,Koteshwor,27.648312,85.337496,Highway,Motorcycle,Weather,Night,Rainy,4,2,0,0,10,Female,Adult (25-44),Motorcyclist
ACC-00201,2023,5,May,2023-05-01,Lumbini,Rupandehi,Sainamaina,27.689747,83.407842,Hill Road,Motorcycle,Weather,Evening,Clear,3,3,2,2,32,Male,Young Adult (15-24),Motorcyclist
ACC-00224,2023,5,May,2023-05-01,Bagmati,Kathmandu,Koteshwor,27.671286,85.342841,Urban Road,Tempo,Overspeeding,Night,Foggy,1,3,2,2,14,Male,Adult (25-44),Passenger
ACC-00227,2023,5,May,2023-05-01,Sudurpashchim,Kailali,Lamki,28.618029,80.694623,Rural Road,Bus,Overspeeding,Afternoon,Rainy,4,1,1,1,65,Female,Young Adult (15-24),Passenger
ACC-00233,2023,5,May,2023-05-01,Bagmati,Kathmandu,Kirtipur,27.65183,85.306302,Urban Road,Truck,Landslide,Evening,Rainy,2,1,0,0,8,Male,Young Adult (15-24),Passenger
ACC-00289,2023,5,May,2023-05-01,Lumbini,Rupandehi,Siddharthanagar,27.502213,83.463295,Rural Road,Motorcycle,Weather,Afternoon,Foggy,1,5,1,1,46,Male,Adult (25-44),Motorcyclist
ACC-00304,2023,5,May,2023-05-01,Madhesh,Dhanusha,Sabaila,26.770338,85.835778,Urban Road,Car,Flood,Evening,Rainy,3,0,0,0,12,Male,Middle Aged (45-64),Passenger
ACC-00382,2023,5,May,2023-05-01,Lumbini,Rupandehi,Sainamaina,27.671175,83.458666,Highway,Motorcycle,Human Error,Evening,Clear,3,2,0,0,42,Male,Middle Aged (45-64),Motorcyclist
ACC-00391,2023,5,May,2023-05-01,Sudurpashchim,Kailali,Khailad,28.724203,80.596193,Highway,Motorcycle,Flood,Morning,Rainy,4,4,2,2,8,Other,Young Adult (15-24),Motorcyclist
ACC-00408,2023,5,May,2023-05-01,Madhesh,Dhanusha,Kamala,26.668184,85.953189,Urban Road,Motorcycle,Landslide,Morning,Rainy,3,1,0,0,59,Male,Child (0-14),Motorcyclist
ACC-00419,2023,5,May,2023-05-01,Sudurpashchim,Kailali,Lamki,28.647356,80.663607,Hill Road,Motorcycle,Road Condition,Evening,Foggy,4,1,0,0,63,Male,Adult (25-44),Motorcyclist
ACC-00428,2023,5,May,2023-05-01,Gandaki,Kaski,Batulechaur,28.23161,83.940147,Hill Road,Motorcycle,Weather,Morning,Foggy,3,3,1,1,49,Female,Child (0-14),Motorcyclist
ACC-00505,2023,5,May,2023-05-01,Lumbini,Rupandehi,Butwal,27.692288,83.479461,Urban Road,Truck,Drunk Driving,Night,Clear,1,2,2,2,18,Male,Senior (65+),Passenger
ACC-00055,2023,6,June,2023-06-01,Karnali,Surkhet,Uttarganga,28.522202,81.645284,Highway,Motorcycle,Flood,Morning,Rainy,4,5,0,0,17,Male,Young Adult (15-24),Motorcyclist
ACC-00079,2023,6,June,2023-06-01,Gandaki,Kaski,Rambazar,28.190705,83.975606,Hill Road,Motorcycle,Weather,Morning,Rainy,1,6,0,0,23,Male,Child (0-14),Motorcyclist
ACC-00082,2023,6,June,2023-06-01,Lumbini,Rupandehi,Bhairahawa,27.485825,83.462162,Urban Road,Motorcycle,Drunk Driving,Night,Foggy,1,1,0,0,10,Male,Middle Aged (45-64),Motorcyclist
ACC-00107,2023,6,June,2023-06-01,Koshi,Morang,Katahari,26.499706,87.230827,Highway,Motorcycle,Road Condition,Evening,Foggy,4,5,3,3,15,Male,Young Adult (15-24),Motorcyclist
ACC-00229,2023,6,June,2023-06-01,Koshi,Morang,Biratnagar,26.477582,87.284078,Hill Road,Motorcycle,Landslide,Morning,Rainy,1,1,1,1,49,Female,Middle Aged (45-64),Motorcyclist
ACC-00236,2023,6,June,2023-06-01,Bagmati,Kathmandu,Tokha,27.772286,85.315228,Urban Road,Motorcycle,Flood,Morning,Rainy,4,0,0,0,35,Female,Middle Aged (45-64),Motorcyclist
ACC-00306,2023,6,June,2023-06-01,Gandaki,Kaski,Lakeside,28.187747,83.947618,Rural Road,Motorcycle,Human Error,Night,Foggy,3,3,3,3,65,Female,Young Adult (15-24),Motorcyclist
